Date/Time of contact, Black Hole Mass (in Solar Masss), Radius(km), Gravitational Force (F = G m1m2 / R^2)
2023-Jul-21 @ Time 14:05:15,505,1498009.5,7.50996598531401E-20
2023-Jul-21 @ Time 14:05:15,555,1646327.375,6.83339158070285E-19
2023-Jul-21 @ Time 14:05:15,605,1794645.125,6.26864849560631E-19
2023-Jul-21 @ Time 14:05:23,610,1809476.875,6.21726647961309E-20
2023-Jul-21 @ Time 14:05:24,615,1824308.625,6.16672009106704E-20
2023-Jul-21 @ Time 14:05:24,620,1839140.5,6.11698768376217E-20
2023-Jul-21 @ Time 14:05:25,625,1853972.25,6.06805209675724E-20
2023-Jul-21 @ Time 14:05:29,675,2002290,5.61856662870355E-19
2023-Jul-21 @ Time 14:05:44,680,2017121.75,5.57725373474653E-20
2023-Jul-21 @ Time 14:06:00,685,2031953.5,5.53654406079915E-20
2023-Jul-21 @ Time 14:06:02,690,2046785.375,5.4964238006647E-20
2023-Jul-21 @ Time 14:06:04,695,2061617.125,5.45688126764091E-20
2023-Jul-21 @ Time 14:06:05,700,2076448.875,5.41790373318658E-20
2023-Jul-21 @ Time 14:06:06,705,2091280.625,5.3794788491548E-20
2023-Jul-21 @ Time 14:06:07,710,2106112.5,5.34159494907545E-20
2023-Jul-21 @ Time 14:06:08,759.9999,2254430,4.99017492951287E-19
2023-Jul-21 @ Time 14:06:08,809.9999,2402747.75,4.68213954194311E-19
2023-Jul-21 @ Time 14:06:09,859.9999,2551065.5,4.40992231622262E-19
2023-Jul-21 @ Time 14:06:13,909.9999,2699383.25,4.16761882989025E-19
2023-Jul-21 @ Time 14:06:13,959.9999,2847701.25,3.9505546172456E-19
2023-Jul-21 @ Time 14:06:13,1010,2996019,3.754982992657E-19
2023-Jul-21 @ Time 14:06:15,1060,3144337,3.57786058485967E-19
2023-Jul-21 @ Time 14:06:15,1110,3292654.75,3.41669579035143E-19
2023-Jul-21 @ Time 14:06:16,1160,3440972.5,3.2694245462712E-19
2023-Jul-21 @ Time 14:06:17,1210,3589290.25,3.13432424780316E-19
2023-Jul-21 @ Time 14:06:18,1215,3604122,3.12142593507206E-20
2023-Jul-21 @ Time 14:06:18,1265,3752439.75,2.9980495365185E-19
2023-Jul-21 @ Time 14:06:20,1315,3900757.5,2.88405519071543E-19
2023-Jul-21 @ Time 14:06:21,1365,4049075.25,2.77841229536525E-19
2023-Jul-21 @ Time 14:06:24,1415,4197393,2.68023501614402E-19
2023-Jul-21 @ Time 14:06:25,1465,4345711,2.58875930280796E-19
2023-Jul-21 @ Time 14:06:28,1515,4494028.5,2.50332188644143E-19
2023-Jul-21 @ Time 14:06:29,1565,4642346.5,2.42334349150297E-19
2023-Jul-21 @ Time 14:06:30,1615,4790664,2.3483175585599E-19
2023-Jul-21 @ Time 14:06:32,1665,4938982,2.27779729148055E-19
2023-Jul-21 @ Time 14:06:33,1715,5087300,2.21138918991995E-19
2023-Jul-21 @ Time 14:06:34,1765,5235618,2.1487434624553E-19
2023-Jul-21 @ Time 14:06:45,1815,5383935.5,2.08954962017395E-19
2023-Jul-21 @ Time 14:06:46,1865,5532253,2.03352956939543E-19
2023-Jul-21 @ Time 14:07:23,505,1498009.5,7.50996598531401E-20
2023-Jul-21 @ Time 14:07:47,555,1646327.375,6.83339158070285E-19
